,dtype,non_null,missing,missing_pct,unique
OverallRating,object,1576,0,0.0,5
OverallFrontCrashRating,object,1576,0,0.0,5
FrontCrashDriversideRating,object,1576,0,0.0,4
FrontCrashPassengersideRating,object,1576,0,0.0,5
OverallSideCrashRating,object,1576,0,0.0,3
SideCrashDriversideRating,object,1576,0,0.0,4
SideCrashPassengersideRating,object,1576,0,0.0,4
combinedSideBarrierAndPoleRating-Front,object,1576,0,0.0,3
combinedSideBarrierAndPoleRating-Rear,object,1576,0,0.0,4
sideBarrierRating-Overall,object,1576,0,0.0,3
RolloverRating,object,1576,0,0.0,6
RolloverRating2,object,1576,0,0.0,1
RolloverPossibility,float64,1576,0,0.0,70
RolloverPossibility2,float64,1576,0,0.0,1
dynamicTipResult,object,1576,0,0.0,3
SidePoleCrashRating,object,1576,0,0.0,5
NHTSAElectronicStabilityControl,object,1576,0,0.0,1
NHTSAForwardCollisionWarning,object,1576,0,0.0,5
NHTSALaneDepartureWarning,object,1576,0,0.0,5
ModelYear,int64,1576,0,0.0,3
Make,object,1576,0,0.0,42
Model,object,1576,0,0.0,769
VehicleDescription,object,1576,0,0.0,1576
VehicleId,int64,1576,0,0.0,1576
rating_updated_on,object,1576,0,0.0,113
